action,stake,conviction,condition_id,outcome,asset,title,slug,current_price,avg_entry_price,total_current_value,supporting_traders,opposing_traders,supporting_score,opposing_score,traders,opposing_outcomes
COPY,2.23,89.074731,0x5380fd8ced6cd8bc915aa9c7c673a2e68e5e940b2ce1fb3821c210883047e213,Team Resilience,23126545553792778926465988880014731174575642977120777768714398784237703448936,Dota 2: Xtreme Gaming vs Team Resilience (BO3) - Games of the Future Playoffs,dota2-xtreme-tr7-2026-08-03,0.255,0.2236500349419622529408470321,2094.4731,2,0,156.39,0,"Esports_2c3350, igot50k",
IGNORE,0,36.37051666666666666666666667,0x27569a08eedf0470c88565adc2865d22112f87d9443f772e6defc6a401cbee21,Hanwha Life Esports,83605163171974978958530784766520752084272212117912329386557336096051377118495,LoL: Gen.G vs Hanwha Life Esports (BO3) - KeSPA Cup Last Chance Qualifier,lol-gen-hle1-2026-08-03,0.715,0.52,957.385,1,0,56.39,0,igot50k,
IGNORE,0,35.76909466666666666666666667,0x44d388edc19afb054ba25eef2c40fe9928e1ac0c470c679b6d353de9d2604b04,GLYPH,45958745877611443479719772023468651358853369999220595574109469491754305536589,Dota 2: GLYPH vs PlayTime (BO3) - Games of the Future Playoffs,dota2-glyph-playti-2026-08-03,0.35,0.2894,897.2428,1,0,56.39,0,igot50k,
IGNORE,0,33.48604266666666666666666667,0xf15677ed6f03722f6c506e4464711718973f418e681566492da7def4a6be3ceb,T1,31690119710610146812546241563028985894768673649122026645003491970242832899020,LoL: Nongshim Red Force vs T1 - Game 2 Winner,lol-ns-t1-2026-08-03-game2,0.595,0.56,668.9376,1,0,56.39,0,igot50k,
IGNORE,0,33.31982066666666666666666667,0xcb54d2c83411311e6f5c6ae29a50298ecfa538e8159c2a088303ba42b6f44b75,LGD Gaming,90311023420381919167390671852877075874088662271874868254038193574860968336524,Dota 2: LGD Gaming vs 1win (BO3) - 1win Essence Playoffs,dota2-lgd-1win-2026-08-03,0.405,0.4017,652.3154,1,0,56.39,0,igot50k,
IGNORE,0,32.79101866666666666666666667,0x008b2860bb9c84cc6ce05a6e514f67ba5fda1ec5a75c509b37702ec7823d1181,Gen.G,41281040711913943848413168041209555147386308082033829114684607432716135195244,LoL: Gen.G vs Hanwha Life Esports - Game 1 Winner,lol-gen-hle1-2026-08-03-game1,0.355,0.3562,599.4352,1,0,56.39,0,igot50k,
IGNORE,0,31.30397466666666666666666667,0x003f126018a2c050097d82178a8e65cac788196879806097d8b421a13a769d1c,OG,65509828886549102239802669652700772041118292288745082220915875158076298193766,Dota 2: OG vs GamerLegion (BO3) - 1win Essence Playoffs,dota2-og-gl-2026-08-03,0.585,0.5943,450.7308,1,0,56.39,0,igot50k,
IGNORE,0,30.88739566666666666666666667,0xdd7a0c7db904be7f55b6087ce2f21740efd628061ae1d7bf8acec8f9b2588458,T1,44574566689186830984351231343088222721139815597933617282048854201432065345714,LoL: Nongshim Red Force vs T1 - Game 1 Winner,lol-ns-t1-2026-08-03-game1,0.585,0.56,409.0729,1,0,56.39,0,igot50k,
IGNORE,0,30.83635966666666666666666667,0x843c2a0fb281eb9090e94b0217804b7b95b4757e8264d94bf64140e723aa96db,Hanwha Life Esports,83073016005127772455674698684810330866168322299927514552950080135452480714174,Game Handicap: HLE (-1.5) vs Gen.G (+1.5),lol-gen-hle1-2026-08-03-game-handicap-home-1pt5,0.425,0.3099,403.9693,1,0,56.39,0,igot50k,
IGNORE,0,29.63039366666666666666666667,0x59efc0119784d7325a16443833bed70ef93543a3ff508627339814c7a23693ca,3v Team,14159653469907286586704922189879179528932991283242878186739611977413916546450,LoL: Zeu5 Esports vs 3v Team (BO5) - LRN Playoffs,lol-z5-3v-2026-08-03,0.145,0.1996,283.3727,1,0,56.39,0,igot50k,
IGNORE,0,28.40156966666666666666666667,0x43c295d3de01887d6bb874bc001abbb81b832a4174c3d812ea22360090073726,Yakult Brothers,27443828266886824497632200368805876537022646031262215475574679004655794838961,Dota 2: Vici Gaming vs Yakult Brothers (BO3) - Games of the Future Playoffs,dota2-vg-yb1-2026-08-03,0.245,0.32,160.4903,1,0,56.39,0,igot50k,
IGNORE,0,22.9862,0x5a76ff827fee03a48315e6d450d811a9723d05834e4f2d45c7566dafe27d252a,Kiwoom DRX Challengers,59924953343351662265183395737484839331498162013253873023560712206556303389325,LoL: BNK FearX Youth vs Kiwoom DRX Challengers (BO3) - LCK Challengers League Rounds 3-4 Trial Group,lol-foxy-drxc-2026-08-05,0.6,0.5665,112.62,1,0,41.58,0,entropytime,
IGNORE,0,7.42110233203286634746113377,0xc803860342c6c6114ef64aa845adfdae2b42a83d12b8346cb02b96c87ea4dd3e,T1,64473106054358572405444490793268063105916598976434680008113149018110459538449,LoL: Nongshim Red Force vs T1 (BO3) - KeSPA Cup Last Chance Qualifier,lol-ns-t1-2026-08-03,0.635,0.5499,643.2203,1,1,56.39,41.58,igot50k,Nongshim Red Force
CONFLICT,0,0,0xc803860342c6c6114ef64aa845adfdae2b42a83d12b8346cb02b96c87ea4dd3e,Nongshim Red Force,39351449035492652822967995579890450215818384382042948253420408219782810885532,LoL: Nongshim Red Force vs T1 (BO3) - KeSPA Cup Last Chance Qualifier,lol-ns-t1-2026-08-03,0.365,0.4501,4822.5773,1,1,41.58,56.39,entropytime,T1
